
2021-01-16T04:10:46.857185,102,thermometer,processed,1
2021-01-16T04:10:46.857304,102,thermometer,detected,1
2021-01-16T04:10:47.257489,103,oximeter,processed,1
2021-01-16T04:10:47.257653,103,oximeter,detected,1
2021-01-16T04:10:47.657688,103,ecg,processed,1
2021-01-16T04:10:47.657871,103,ecg,detected,1
2021-01-16T04:10:47.857702,103,thermometer,processed,1
2021-01-16T04:10:47.857868,103,thermometer,detected,1
2021-01-16T04:10:48.257918,104,oximeter,processed,1
2021-01-16T04:10:48.258114,104,oximeter,detected,1
2021-01-16T04:10:48.658126,104,ecg,processed,1
2021-01-16T04:10:48.658334,104,ecg,detected,1
2021-01-16T04:10:48.858208,104,thermometer,processed,1
2021-01-16T04:10:48.858397,104,thermometer,detected,1
2021-01-16T04:10:49.258344,105,oximeter,processed,0
2021-01-16T04:10:49.458530,105,oximeter,processed,0
2021-01-16T04:10:49.458657,105,oximeter,detected,1
2021-01-16T04:10:49.658689,105,ecg,processed,1
2021-01-16T04:10:49.658854,105,ecg,detected,1
2021-01-16T04:10:49.858898,105,thermometer,processed,1
2021-01-16T04:10:49.859104,105,thermometer,detected,1
2021-01-16T04:10:50.259073,106,oximeter,processed,1
